c	gamma	ACC	Sn	Sp	AUC	AP	MCC	TP	TN	FP	FN
0.03125	3.0517578125e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46925457051323005	0.4665346555405429	0.007682286344772147	394.0	273.0	389.0	268.0
0.03125	6.103515625e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.47826781427697806	0.47076897251592537	0.007682286344772147	394.0	273.0	389.0	268.0
0.03125	0.0001220703125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46945080822555474	0.47554611339571495	0.007682286344772147	394.0	273.0	389.0	268.0
0.03125	0.000244140625	0.5037764350453172	0.595166163141994	0.4123867069486405	0.4783202964558556	0.4709046043990438	0.007682286344772147	394.0	273.0	389.0	268.0
0.03125	0.00048828125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46943483538850506	0.47570521287153655	0.007682286344772147	394.0	273.0	389.0	268.0
0.03125	0.0009765625	0.5045317220543807	0.595166163141994	0.41389728096676737	0.47708011975064113	0.47987684756439547	0.009216122327214502	394.0	274.0	388.0	268.0
0.03125	0.001953125	0.5045317220543807	0.595166163141994	0.41389728096676737	0.47825184143992844	0.4708531008057006	0.009216122327214502	394.0	274.0	388.0	268.0
0.03125	0.00390625	0.5052870090634441	0.595166163141994	0.41540785498489424	0.4626828889842189	0.47225835767947444	0.010749112501339485	394.0	275.0	387.0	268.0
0.03125	0.0078125	0.5075528700906344	0.5891238670694864	0.4259818731117825	0.47861465302434264	0.47297306797097394	0.015310865981194442	390.0	282.0	380.0	272.0
0.03125	0.015625	0.513595166163142	0.5861027190332326	0.44108761329305135	0.45572557753215104	0.4624713546316731	0.027480819949518412	388.0	292.0	370.0	274.0
0.03125	0.03125	0.5181268882175226	0.5845921450151057	0.4516616314199396	0.540025647812634	0.5505414260005282	0.036578396548737	387.0	299.0	363.0	275.0
0.0625	3.0517578125e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46925457051323005	0.4667402821532074	0.007682286344772147	394.0	273.0	389.0	268.0
0.0625	6.103515625e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.47831116912039867	0.4709120286055995	0.007682286344772147	394.0	273.0	389.0	268.0
0.0625	0.0001220703125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46947134473033286	0.4667222176236141	0.007682286344772147	394.0	273.0	389.0	268.0
0.0625	0.000244140625	0.5037764350453172	0.595166163141994	0.4123867069486405	0.4783202964558556	0.47995207801437734	0.007682286344772147	394.0	273.0	389.0	268.0
