c	gamma	ACC	Sn	Sp	AUC	AP	MCC	TP	TN	FP	FN
0.03125	3.0517578125e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.27587143503847894	0.399732963986117	0.35319148936170214	159.0	159.0	76.0	76.0
0.03125	6.103515625e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.275817111815301	0.3997038372682866	0.35319148936170214	159.0	159.0	76.0	76.0
0.03125	0.0001220703125	0.676595744680851	0.676595744680851	0.676595744680851	0.5	0.5	0.35319148936170214	159.0	159.0	76.0	76.0
0.03125	0.000244140625	0.676595744680851	0.676595744680851	0.676595744680851	0.5	0.5	0.35319148936170214	159.0	159.0	76.0	76.0
0.03125	0.00048828125	0.674468085106383	0.6808510638297872	0.6680851063829787	0.5260479855138072	0.5142246425117193	0.3489646066947002	160.0	157.0	78.0	75.0
0.03125	0.0009765625	0.674468085106383	0.6808510638297872	0.6680851063829787	0.7030873698506112	0.6760461643986586	0.3489646066947002	160.0	157.0	78.0	75.0
0.03125	0.001953125	0.6808510638297872	0.7063829787234043	0.6553191489361702	0.7254775916704391	0.7411891393764773	0.3621746237006205	166.0	154.0	81.0	69.0
0.03125	0.00390625	0.6936170212765957	0.7021276595744681	0.6851063829787234	0.7459483929379809	0.7647277406190542	0.3872901502154573	165.0	161.0	74.0	70.0
0.03125	0.0078125	0.7042553191489361	0.6978723404255319	0.7106382978723405	0.7789406971480308	0.800340320041728	0.4085439297889173	164.0	167.0	68.0	71.0
0.03125	0.015625	0.7468085106382979	0.723404255319149	0.7702127659574468	0.8054504300588502	0.827380406435858	0.4941586780284728	170.0	181.0	54.0	65.0
0.03125	0.03125	0.7723404255319148	0.7446808510638298	0.8	0.8300226346763241	0.8488488334810176	0.545516187194419	175.0	188.0	47.0	60.0
0.0625	3.0517578125e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.5	0.5	0.35319148936170214	159.0	159.0	76.0	76.0
0.0625	6.103515625e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.275817111815301	0.3997038372682866	0.35319148936170214	159.0	159.0	76.0	76.0
0.0625	0.0001220703125	0.676595744680851	0.676595744680851	0.676595744680851	0.5	0.5	0.35319148936170214	159.0	159.0	76.0	76.0
0.0625	0.000244140625	0.676595744680851	0.676595744680851	0.676595744680851	0.7238116794929832	0.7317057196822845	0.35319148936170214	159.0	159.0	76.0	76.0
0.0625	0.00048828125	0.674468085106383	0.6808510638297872	0.6680851063829787	0.7252784065187868	0.7403909474797865	0.3489646066947002	160.0	157.0	78.0	75.0
0.0625	0.0009765625	0.674468085106383	0.7063829787234043	0.6425531914893617	0.7250882752376641	0.7408333386414127	0.3496491748232011	166.0	151.0	84.0	69.0
0.0625	0.001953125	0.6936170212765957	0.7021276595744681	0.6851063829787234	0.746672702580353	0.7659709351645496	0.3872901502154573	165.0	161.0	74.0	70.0
0.0625	0.00390625	0.7085106382978723	0.7106382978723405	0.7063829787234043	0.7814214576731553	0.8051241700200052	0.4170250523036683	167.0	166.0	69.0	68.0
0.0625	0.0078125	0.7553191489361702	0.7319148936170212	0.7787234042553192	0.8095427795382527	0.8336752144844446	0.5111986324432477	172.0	183.0	52.0	63.0
0.0625	0.015625	0.7829787234042553	0.7617021276595745	0.8042553191489362	0.8287732005432322	0.8520254835179769	0.5664705542999467	179.0	189.0	46.0	56.0
0.0625	0.03125	0.7787234042553192	0.7531914893617021	0.8042553191489362	0.8500135808057945	0.8655176595114993	0.5581750082915445	177.0	189.0	46.0	58.0
0.125	3.0517578125e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.5	0.5	0.35319148936170214	159.0	159.0	76.0	76.0
0.125	6.103515625e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.5	0.5	0.35319148936170214	159.0	159.0	76.0	76.0
0.125	0.0001220703125	0.676595744680851	0.676595744680851	0.676595744680851	0.502127659574468	0.502127659574468	0.35319148936170214	159.0	159.0	76.0	76.0
0.125	0.000244140625	0.676595744680851	0.676595744680851	0.676595744680851	0.7141330918967859	0.7253130884942902	0.35319148936170214	159.0	159.0	76.0	76.0
0.125	0.00048828125	0.676595744680851	0.7106382978723405	0.6425531914893617	0.7250339520144862	0.7410247725433822	0.3540129705040824	167.0	151.0	84.0	68.0
